UOBM37  RoBERTa

cosine
Method 2 K49  score: 30497.537210990187
Method 2 K50  score: 30497.34091656592
Method 2 K51  score: 30490.55412784194
Method 2 K52  score: 30494.202251169325
Method 2 K53  score: 30500.023419595043
Method 2 K54  score: 30499.827125170777
Method 2 K55  score: 30493.040336446797
Method 2 K56  score: 30496.68845977418
Method 2 K57  score: 30493.610857284482
Method 2 K58  score: 30493.414562860216
Method 2 K59  score: 30486.627774136236
Method 2 K60  score: 30490.27589746362
Method 2 K61  score: 30500.087598520866
Method 2 K62  score: 30499.8913040966
Method 2 K63  score: 30493.10451537262
Method 2 K64  score: 30496.752638700003
Method 2 K65  score: 30499.169595898413
Method 2 K66  score: 30498.973301474147
Method 2 K67  score: 30492.186512750166
Method 2 K68  score: 30495.83463607755
Method 2 K69  score: 30494.698157823274
Method 2 K70  score: 30494.501863399008
Method 2 K71  score: 30487.715074675027
Method 2 K72  score: 30491.36319800241
Method 2 K73  score: 30492.75703358785
Method 2 K74  score: 30492.560739163586
Method 2 K75  score: 30485.773950439605
Method 2 K76  score: 30489.42207376699
Method 2 K77  score: 30499.233774824235
Method 2 K78  score: 30499.03748039997
Method 2 K79  score: 30492.25069167599
Method 2 K80  score: 30495.898815003373
Method 2 K81  score: 30488.285595512712
Method 2 K82  score: 30488.089301088447
Method 2 K83  score: 30481.302512364466
Method 2 K84  score: 30484.95063569185
Method 2 K85  score: 30494.762336749096
Method 2 K86  score: 30494.56604232483
Method 2 K87  score: 30487.77925360085
Method 2 K88  score: 30491.427376928234
Method 2 K89  score: 30501.71998342909
Method 2 K90  score: 30501.523689004825
Method 2 K91  score: 30494.736900280845
Method 2 K92  score: 30498.38502360823
Method 2 K93  score: 30497.248545353952
Method 2 K94  score: 30497.052250929686
Method 2 K95  score: 30490.265462205705
Method 2 K96  score: 30493.91358553309
Method 2 K97  score: 30495.30742111853
Method 2 K98  score: 30495.111126694264
Method 2 K99  score: 30488.324337970284
Method 2 K100  score: 30491.972461297668
Method 2 K101  score: 30501.784162354914
Method 2 K102  score: 30501.587867930648
Method 2 K103  score: 30494.801079206667
Method 2 K104  score: 30498.44920253405
Method 2 K105  score: 30490.83598304339
Method 2 K106  score: 30490.639688619125
Method 2 K107  score: 30483.852899895144
Method 2 K108  score: 30487.50102322253
Method 2 K109  score: 30497.312724279775
Method 2 K110  score: 30497.11642985551
Method 2 K111  score: 30490.329641131528
Method 2 K112  score: 30493.977764458912
